Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Security Rules,Size Metric Rules,isDefective
29,1,51,2,0,0,0,0,0,0,0,0,1,0,0,3,7,1,0,2,5,0,0,0,0,0,4,0,0,0,0,0,0,0,20,23,1,0,1,0,3,1,3,0,3,3,1,3,0,20,23,1,0,1,0,3,1,3,0,3,3,1,3,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,1
33,1,79,2,0,0,0,0,0,0,0,0,6,0,0,7,8,0,0,2,9,0.5,0.102564,4,4,4,4,0.102564,4,0,0,0,0,0,35,47,1,0,1,0,7,1,7,0,7,2,1,7,0,35,47,1,0,1,0,7,1,7,0,7,2,1,7,0,0,0,22,0,5,0,0,0,1,0,0,0,17,5,0,0,0,0,0,4,1
29,1,57,2,0,0,0,0,0,0,0,0,1,0,0,4,7,2,0,2,6,0,0,0,0,0,5,0,0,0,0,0,0,0,25,29,1,0,1,0,4,1,4,0,4,4,1,4,0,25,29,1,0,1,0,4,1,4,0,4,4,1,4,0,0,0,15,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0
30,1,52,2,0,0,0,0,0,0,0,0,1,0,0,3,6,1,0,2,5,0,0,0,0,0,4,0,0,0,0,0,0,0,20,23,1,0,1,0,3,1,3,0,3,3,1,3,0,20,23,1,0,1,0,3,1,3,0,3,3,1,3,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0
25,1,58,2,0,0,0,0,0,0,0,0,1,0,0,5,3,2,0,2,7,0,0,0,0,0,6,0,0,2,2,0,0,1,29,34,1,0,1,0,5,1,5,0,5,5,1,5,0,29,34,1,0,1,0,5,1,5,0,5,5,1,5,0,0,0,17,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,4,0
26,1,53,2,0,0,0,0,0,0,0,0,1,0,0,4,4,0,0,5,9,0,0,0,0,0,5,0,0,2,2,0,0,1,24,28,1,0,1,0,4,1,4,0,4,4,1,4,0,24,28,1,0,1,0,4,1,4,0,4,4,1,4,0,0,0,15,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0
27,1,60,2,0,0,0,0,0,0,0,0,1,0,0,5,3,0,0,2,7,0,0,0,0,0,6,0,0,2,2,0,0,1,29,34,1,0,1,0,5,1,5,0,5,5,1,5,0,29,34,1,0,1,0,5,1,5,0,5,5,1,5,0,0,0,17,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,4,0
27,1,60,2,0,0,0,0,0,0,0,0,1,0,0,5,3,1,0,2,7,0,0,0,0,0,6,0,0,2,2,0,0,1,29,34,1,0,1,0,5,1,5,0,5,5,1,5,0,29,34,1,0,1,0,5,1,5,0,5,5,1,5,0,0,0,17,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,4,0
25,1,57,2,0,0,0,0,0,0,0,0,1,2,2,5,6,1,1,2,4,0,0.0666667,2,0,0,3,0.0666667,2,1,1,0,0,1,28,33,2,0,2,0,2,0,2,0,2,10,0,2,0,28,33,2,0,2,0,2,0,2,0,2,10,0,2,0,0,0,7,0,2,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0
26,1,39,2,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,4,5,0,0.153846,2,0,0,2,0.153846,2,1,1,0,0,1,11,14,1,0,0,0,1,0,1,0,4,2,0,3,0,11,14,1,0,0,0,1,0,1,0,4,2,0,3,0,0,0,3,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
28,1,60,2,0,0,0,0,0,0,0,0,1,2,2,4,4,1,0,3,4,0,0.129032,4,0,0,2,0.129032,4,1,1,0,0,1,27,33,0,0,0,0,1,0,1,0,1,11,0,1,0,27,33,0,0,0,0,1,0,1,0,1,11,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
24,1,32,2,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,1,2,0,0,0,0,0,2,0,0,1,1,0,0,1,9,9,1,0,0,0,1,0,1,0,4,1,0,3,0,9,9,1,0,0,0,1,0,1,0,4,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
30,1,39,2,0,0,0,0,0,0,0,0,1,0,0,1,4,1,0,2,3,0.5,0.307692,4,3,1,1,0.307692,4,0,0,0,0,0,9,10,0,0,0,0,1,0,1,0,1,1,0,1,0,9,10,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
26,1,39,2,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,3,4,0,0.153846,2,0,0,2,0.153846,2,1,1,0,0,1,11,14,1,0,0,0,1,0,1,0,4,2,0,3,0,11,14,1,0,0,0,1,0,1,0,4,2,0,3,0,0,0,3,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1
28,1,37,2,0,0,0,0,0,0,0,0,1,0,0,1,4,3,0,2,3,0.5,0.307692,4,3,1,1,0.307692,4,0,0,0,0,0,9,10,0,0,0,0,1,0,1,0,1,1,0,1,0,9,10,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
23,1,92,2,0,0,0,0,0,0,0,0,2,0,0,8,1,1,0,0,8,0.888889,0.40625,26,26,8,1,0.40625,26,2,2,1,1,1,38,70,20,6,3,3,8,0,8,3,29,8,7,22,9,38,70,20,6,3,3,8,0,8,3,29,8,7,22,9,0,0,9,3,6,4,0,4,1,0,0,1,5,0,0,0,0,0,0,3,0
26,1,81,2,0,0,0,0,0,0,0,0,3,0,0,8,8,2,4,0,8,0,0,0,0,0,9,0,0,3,4,0,0,2,44,56,23,9,3,3,8,0,8,2,37,8,7,30,11,44,56,23,9,3,3,8,0,8,2,37,8,7,30,11,0,0,24,2,4,2,0,4,1,0,0,0,19,0,0,1,0,0,0,3,0
24,1,46,2,0,0,0,0,0,0,0,0,1,0,0,3,2,3,1,0,3,0,0,0,0,0,4,0,0,0,0,1,1,0,18,23,1,1,1,1,3,0,3,1,3,3,0,3,1,18,23,1,1,1,1,3,0,3,1,3,3,0,3,1,0,0,9,0,3,0,0,2,0,0,0,0,9,0,1,0,0,0,0,0,0
21,1,29,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,1,7,9,1,1,0,0,1,0,1,0,4,1,0,4,1,7,9,1,1,0,0,1,0,1,0,4,1,0,4,1,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
43,1,123,2,0.38921,1,2,2,0.246914,0.289855,20,20,1,2,1,9,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,72,81,0,0,0,0,3,0,0,0,3,50,0,0,0,72,81,0,0,0,0,3,0,0,0,3,50,0,0,0,0,0,21,1,3,0,12,3,0,0,0,0,9,0,1,0,0,0,0,0,0
42,1,232,2,0,0,0,0,0,0,0,0,1,2,2,19,3,2,0,4,11,0.5,0.102941,14,6,1,1,0.0867052,15,0,0,0,0,0,122,150,3,2,3,2,7,0,1,0,7,66,0,1,0,158,191,6,2,6,2,12,0,5,0,12,75,0,5,0,0,0,31,0,16,0,0,9,1,0,0,0,30,2,0,0,0,5,0,0,0
36,1,143,2,0.102339,1,1,1,0.0925926,0.120482,10,10,2,2,2,17,0,0,0,0,7,0.8,0.115789,11,9,4,1,0.115789,11,0,0,0,0,0,84,108,1,2,1,2,7,0,4,0,7,41,0,4,0,84,108,1,2,1,2,7,0,4,0,7,41,0,4,0,0,0,26,0,6,1,8,4,1,0,0,0,17,0,0,0,0,1,0,0,0
21,1,40,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,17,20,2,2,2,2,3,0,3,1,3,4,0,3,1,17,20,2,2,2,2,3,0,3,1,3,4,0,3,1,0,0,9,0,4,0,0,2,0,0,0,0,9,0,1,0,0,1,0,0,0
31,1,52,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,19,22,1,0,1,0,2,0,2,1,2,9,0,2,1,19,22,1,0,1,0,2,0,2,1,2,9,0,2,1,0,0,7,0,2,0,0,1,0,0,0,0,7,0,1,0,0,0,0,0,0
32,1,70,2,0,0,0,0,0,0,0,0,4,1,1,11,0,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0,0,0,32,39,3,1,3,1,10,0,10,4,10,14,0,10,4,32,39,3,1,3,1,10,0,10,4,10,14,0,10,4,0,0,24,3,6,2,0,3,1,0,0,1,23,2,1,0,0,0,0,0,0
40,1,278,2,0,0,0,0,0,0,0,0,2,7,3,31,0,0,0,0,4,1,0.0601852,13,10,4,0,0.0601852,13,0,0,0,0,0,203,239,1,1,1,1,4,0,4,0,4,113,0,4,0,203,239,1,1,1,1,4,0,4,0,4,113,0,4,0,0,1,19,10,24,2,0,20,1,3,0,0,10,1,3,0,1,8,0,5,0
62,1,1039,2,0.250569,19,42,30,0.179959,0.195266,176,165,1,5,5,148,0,1,1,0,10,1,0.0291262,24,11,7,0,0.0273038,24,0,0,0,0,0,800,919,2,2,2,2,10,0,6,0,10,577,0,6,0,855,978,2,2,2,2,16,0,12,0,16,593,0,12,0,0,4,81,28,50,4,21,40,1,7,0,16,43,0,16,0,1,5,0,9,0
33,1,61,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,3,1,0.2,6,6,4,0,0.2,6,0,0,0,0,0,24,29,0,0,0,0,3,0,3,0,3,8,0,3,0,24,29,0,0,0,0,3,0,3,0,3,8,0,3,0,0,0,9,0,1,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,0
34,1,88,2,0,0,0,0,0,0,0,0,1,2,2,7,0,0,0,0,3,0,0.0625,3,0,0,4,0.0625,3,0,0,0,0,0,45,55,3,0,3,0,3,0,3,0,3,15,0,3,0,45,55,3,0,3,0,3,0,3,0,3,15,0,3,0,0,1,9,0,2,0,0,2,0,0,0,0,9,0,1,0,0,0,0,0,0
35,1,80,2,0,0,0,0,0,0,0,0,2,3,1,6,0,0,0,0,3,1,0.152174,7,7,4,0,0.152174,7,0,0,0,0,0,39,46,0,0,0,0,3,0,3,0,3,18,0,3,0,39,46,0,0,0,0,3,0,3,0,3,18,0,3,0,0,0,9,1,1,0,0,0,1,0,0,1,8,0,1,0,0,0,0,0,0
40,1,194,2,0.768675,14,15,15,0.490323,0.55303,76,73,3,1,1,9,1,1,0,1,7,1,0.0699301,10,10,6,0,0.0699301,10,0,0,0,0,0,133,155,0,1,0,1,6,0,5,0,6,97,0,5,0,133,155,0,1,0,1,6,0,5,0,6,97,0,5,0,0,0,29,5,6,1,12,1,1,0,0,2,14,1,5,0,1,0,0,2,0
33,1,77,2,0,0,0,0,0,0,0,0,1,3,3,7,0,0,0,0,3,1,0.136364,6,6,4,0,0.136364,6,0,0,0,0,0,38,45,0,1,0,1,3,0,3,0,3,16,0,3,0,38,45,0,1,0,1,3,0,3,0,3,16,0,3,0,0,0,8,0,1,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0
42,1,381,2,0.435023,5,24,12,0.405882,0.444043,138,123,2,1,1,26,2,0,0,2,9,1,0.0608108,18,6,4,0,0.0608108,18,0,0,0,0,0,278,340,1,0,1,0,7,0,3,0,7,154,0,3,0,278,340,1,0,1,0,7,0,3,0,7,154,0,3,0,0,0,47,13,1,0,26,0,1,0,0,5,16,0,9,0,0,0,0,4,0
37,1,203,2,0.410619,3,8,3,0.311377,0.333333,52,43,2,6,3,22,1,0,0,1,7,1,0.0769231,10,10,5,0,0.0896552,13,0,0,0,0,0,120,153,2,2,2,2,6,0,4,0,6,64,0,4,0,132,167,3,3,3,3,8,0,6,0,8,66,0,6,0,0,3,42,2,15,4,18,12,1,2,0,1,21,0,1,0,0,2,0,0,0
35,1,122,2,0,0,0,0,0,0,0,0,17,0,0,17,0,0,0,0,17,0,0.239437,17,0,0,18,0.239437,17,0,0,0,0,0,54,88,0,0,0,0,17,0,17,0,17,0,0,17,0,54,88,0,0,0,0,17,0,17,0,17,0,0,17,0,0,0,5,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0
48,1,128,2,0,0,0,0,0,0,0,0,2,2,2,10,2,1,0,2,5,1,0.263158,20,20,4,0,0.263158,20,0,0,0,0,0,56,81,4,0,4,0,3,0,3,0,3,27,0,3,0,56,81,4,0,4,0,3,0,3,0,3,27,0,3,0,0,0,3,0,5,2,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0
49,1,226,2,0,0,0,0,0,0,0,0,1,1,1,21,2,0,0,0,20,0,0.150327,23,0,0,21,0.150327,23,0,0,0,0,0,130,178,1,0,1,0,20,0,20,0,20,38,0,20,0,130,178,1,0,1,0,20,0,20,0,20,38,0,20,0,0,0,44,1,1,1,0,1,0,0,0,0,43,0,0,0,0,0,0,1,0
42,1,122,2,0,0,0,0,0,0,0,0,3,1,1,4,7,1,0,4,7,0,0.037037,1,1,0,3,0.0985916,7,1,2,0,0,2,26,35,2,0,1,0,3,0,2,0,6,7,0,4,0,64,81,4,0,3,0,6,0,5,0,9,21,0,7,0,0,0,21,0,3,0,0,3,2,0,0,0,18,0,0,1,0,0,0,0,0
46,1,160,2,0,0,0,0,0,0,0,0,2,1,1,17,0,0,0,0,7,0.5,0.107843,11,11,3,3,0.107843,11,0,0,0,0,0,91,115,13,0,13,0,7,0,5,1,7,44,0,5,1,91,115,13,0,13,0,7,0,5,1,7,44,0,5,1,0,0,20,12,4,2,0,2,1,0,0,5,17,1,6,0,0,0,0,2,0
33,1,101,2,0,0,0,0,0,0,0,0,2,0,0,9,0,2,0,0,9,0.8,0.40625,26,26,8,2,0.40625,26,0,0,0,0,0,38,69,0,5,0,5,9,0,9,2,9,7,0,9,2,38,69,0,5,0,5,9,0,9,2,9,7,0,9,2,0,0,6,0,2,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0
32,1,52,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0.454545,10,10,3,0,0.454545,10,0,0,0,0,0,12,21,0,0,0,0,2,0,2,0,2,2,0,2,0,12,21,0,0,0,0,2,0,2,0,2,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,82,2,0,0,0,0,0,0,0,0,3,0,0,6,0,2,0,0,6,1,0.479167,23,23,7,0,0.479167,23,0,0,0,0,0,25,50,0,1,0,1,6,0,6,2,6,1,0,6,2,25,50,0,1,0,1,6,0,6,2,6,1,0,6,2,0,0,1,0,5,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0
28,1,47,2,0,0,0,0,0,0,0,0,1,2,2,3,2,0,0,3,4,0.5,0.173913,4,3,1,1,0.173913,4,3,3,0,0,1,19,20,2,2,0,0,1,0,1,0,10,5,0,10,0,19,20,2,2,0,0,1,0,1,0,10,5,0,10,0,0,0,5,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
28,1,41,2,0,0,0,0,0,0,0,0,1,1,1,2,4,0,0,3,4,0.5,0.235294,4,3,1,1,0.235294,4,0,0,0,0,0,13,14,0,0,0,0,1,0,1,0,1,3,0,1,0,13,14,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,5,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
27,1,65,2,0,0,0,0,0,0,0,0,3,1,1,7,3,0,0,3,8,0.166667,0.135135,5,3,1,5,0.135135,5,2,2,0,0,1,32,39,1,0,1,0,5,0,5,0,5,6,0,5,0,32,39,1,0,1,0,5,0,5,0,5,6,0,5,0,0,0,14,1,0,1,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0
63,1,250,2,0.115152,1,1,1,0.0691489,0.0699301,13,10,2,1,1,11,19,2,6,26,37,0.0909091,0.0490196,5,3,1,10,0.0328947,5,0,0,0,0,0,97,125,10,4,10,4,11,0,10,2,11,43,0,10,2,147,188,36,13,12,5,14,0,13,2,79,64,7,59,11,0,3,56,5,2,2,8,1,1,0,2,4,34,0,1,1,0,2,0,10,0
56,1,206,2,0.270909,6,7,6,0.218543,0.286957,33,33,1,1,1,10,12,0,0,39,46,0.2,0.0787402,10,5,1,4,0.0787402,10,0,0,0,0,0,117,151,7,0,7,0,7,1,4,1,7,69,1,4,1,117,151,7,0,7,0,7,1,4,1,7,69,1,4,1,0,2,47,5,6,5,23,1,0,0,2,4,17,0,1,0,1,1,0,5,0
54,1,255,2,0.127622,2,3,2,0.0990099,0.121212,20,20,1,1,1,15,16,0,0,29,41,0.125,0.0228571,4,1,1,7,0.0228571,4,0,0,0,0,0,171,202,6,2,6,2,12,0,7,1,12,73,0,7,1,171,202,6,2,6,2,12,0,7,1,12,73,0,7,1,0,3,43,4,11,11,14,0,0,0,1,3,27,0,1,0,1,2,0,1,0
34,1,94,2,0,0,0,0,0,0,0,0,1,0,0,7,5,0,0,6,13,0,0.0188679,1,0,0,6,0.0188679,1,0,0,0,0,0,52,61,1,0,1,0,7,0,5,1,7,21,0,5,1,52,61,1,0,1,0,7,0,5,1,7,21,0,5,1,0,0,17,1,11,3,0,0,0,0,0,1,17,0,0,0,0,8,0,0,0
36,1,145,2,0,0,0,0,0,0,0,0,2,2,2,4,6,0,0,6,8,0.666667,0.444444,44,39,2,1,0.444444,44,0,0,0,0,0,55,110,0,0,0,0,2,0,2,0,2,39,0,2,0,55,110,0,0,0,0,2,0,2,0,2,39,0,2,0,0,0,4,0,13,3,0,0,1,0,0,0,3,0,0,0,0,10,0,0,0
55,1,184,2,0.370288,3,3,3,0.392308,0.311828,51,29,1,1,1,2,32,1,0,46,47,0,0.109589,8,0,0,2,0.11215,12,0,0,0,0,0,65,95,1,0,1,0,1,0,1,0,1,56,0,1,0,95,130,26,13,1,0,3,0,3,0,84,66,7,62,11,0,0,38,2,2,0,12,2,0,0,2,2,14,0,0,2,0,0,0,8,0
45,1,140,2,0.762987,6,6,6,0.6875,0.709677,66,44,1,0,0,1,29,0,0,44,45,0,0.171053,13,0,0,2,0.171053,13,0,0,0,0,0,63,96,0,0,0,0,1,0,1,0,1,47,0,1,0,63,96,0,0,0,0,1,0,1,0,1,47,0,1,0,0,0,19,1,2,0,12,2,0,0,2,1,5,0,0,0,0,0,0,0,0
21,1,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,1,0,1,0,0,1,0,0,0,0,1,0,0,4,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0
30,1,52,2,0,0,0,0,0,0,0,0,2,0,0,3,7,0,0,3,6,0,0,0,0,0,4,0,0,1,1,0,0,1,19,23,14,8,1,0,3,0,3,0,22,3,0,17,3,19,23,14,8,1,0,3,0,3,0,22,3,0,17,3,0,0,10,1,0,1,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0
28,1,47,2,0,0,0,0,0,0,0,0,2,0,0,3,5,0,0,2,5,0,0,0,0,0,4,0,0,1,1,0,0,1,18,20,13,8,0,0,3,0,3,0,22,3,0,17,3,18,20,13,8,0,0,3,0,3,0,22,3,0,17,3,0,0,10,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0
36,1,76,2,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,2,4,1,0.483871,15,15,3,0,0.414634,17,0,0,0,0,0,16,28,0,0,0,0,2,0,2,0,2,6,0,2,0,24,41,0,0,0,0,4,0,4,0,4,6,0,4,0,0,0,9,2,1,0,0,0,2,0,0,2,7,1,0,0,0,0,0,0,0
42,1,94,2,0,0,0,0,0,0,0,0,2,0,0,2,5,0,0,3,5,1,0.484848,16,15,4,0,0.408163,20,0,0,0,0,0,17,35,0,0,0,0,2,0,2,0,2,8,0,2,0,29,53,0,0,0,0,3,0,2,0,3,13,0,2,0,0,0,2,3,1,0,0,0,1,0,0,2,1,1,1,0,0,0,0,0,0
57,5,97,6,0,0,0,0,0,0,0,0,4,1,1,7,2,1,1,1,6,0.2,0.027027,1,1,1,4,0.027027,1,0,0,0,0,0,36,41,3,0,3,0,5,0,4,0,5,9,0,4,0,36,41,3,0,3,0,5,0,4,0,5,9,0,4,0,0,0,14,0,5,0,0,3,1,0,0,0,13,2,0,0,0,0,0,0,0
43,5,56,6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0.333333,0.2,3,3,1,2,0.2,3,0,0,0,0,0,12,14,1,1,1,1,2,0,2,0,2,2,0,2,0,12,14,1,1,1,1,2,0,2,0,2,2,0,2,0,0,0,7,0,1,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0
76,5,121,6,0,0,0,0,0,0,0,0,2,2,2,6,7,1,0,4,7,0.25,0.136364,6,4,1,3,0.136364,6,0,0,0,0,0,38,46,2,0,2,0,3,0,3,0,3,14,0,3,0,38,46,2,0,2,0,3,0,3,0,3,14,0,3,0,0,0,10,0,2,0,0,2,1,0,0,0,9,0,0,0,0,0,0,0,0
31,1,102,2,0.373333,1,3,1,0.180556,0.288889,13,13,1,0,0,1,2,0,0,0,1,0,0,0,0,0,2,0.225806,14,0,0,0,0,0,11,12,0,0,0,0,1,0,1,0,1,4,0,1,0,48,72,0,0,0,0,5,0,5,0,5,11,0,5,0,0,0,29,1,2,0,16,0,2,0,0,1,11,2,0,0,0,0,0,0,0
39,1,149,2,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,20,0,0.22093,19,0,0,21,0.22093,19,0,0,0,0,0,67,111,1,0,1,0,20,0,20,0,20,1,0,20,0,67,111,1,0,1,0,20,0,20,0,20,1,0,20,0,0,0,7,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0
53,1,346,2,0.398952,4,21,9,0.302721,0.326271,89,77,2,4,3,39,0,0,0,0,6,0.6,0.0434783,11,11,3,2,0.0434783,11,0,0,0,0,0,242,294,18,0,18,0,6,0,4,1,6,140,0,4,1,242,294,18,0,18,0,6,0,4,1,6,140,0,4,1,0,0,44,22,14,2,19,12,1,2,0,7,15,1,14,0,0,0,0,7,0
35,1,127,2,0.233463,1,1,1,0.107527,0.144928,10,10,1,0,0,3,1,0,0,2,3,0,0,0,0,0,1,0.0533333,4,0,0,0,0,0,34,40,0,0,0,0,1,0,0,0,1,26,0,0,0,71,93,3,0,3,0,8,0,7,0,8,30,0,7,0,0,0,32,1,4,0,9,2,1,0,0,0,22,0,1,0,0,2,0,0,0
